"pathwayRes","pathway","pathwayTitle","PubChem"
"https://identifiers.org/wikipathways/WP121_r125511","WP121","Colanic acid building blocks biosynthesis","CID18068"
"https://identifiers.org/wikipathways/WP2235_r124762","WP2235","Sulfide oxidation pathway","CID189"
"https://identifiers.org/wikipathways/WP2235_r124762","WP2235","Sulfide oxidation pathway","CID25245438"
"https://identifiers.org/wikipathways/WP2235_r124762","WP2235","Sulfide oxidation pathway","CID768"
"https://identifiers.org/wikipathways/WP2235_r124762","WP2235","Sulfide oxidation pathway","CID402"
"https://identifiers.org/wikipathways/WP2235_r124762","WP2235","Sulfide oxidation pathway","CID5460599"
"https://identifiers.org/wikipathways/WP2235_r124762","WP2235","Sulfide oxidation pathway","CID13538"
"https://identifiers.org/wikipathways/WP5218_r124884","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2","CID2826713"
"https://identifiers.org/wikipathways/WP4159_r124609","WP4159","GABA receptor signaling","CID14598502"
"https://identifiers.org/wikipathways/WP4658_r127235","WP4658","Small cell lung cancer","CID118984457"
"https://identifiers.org/wikipathways/WP4853_r124602","WP4853","Linoleic acid metabolism affected by SARS-CoV-2","CID11005824"
"https://identifiers.org/wikipathways/WP4271_r124608","WP4271","Vitamin B12 disorders","CID16212801"
"https://identifiers.org/wikipathways/WP4271_r124608","WP4271","Vitamin B12 disorders","CID24892734"
"https://identifiers.org/wikipathways/WP4189_r124610","WP4189","Mevalonate arm of cholesterol biosynthesis pathway with inhibitors","CID445713"
"https://identifiers.org/wikipathways/WP4189_r124610","WP4189","Mevalonate arm of cholesterol biosynthesis pathway with inhibitors","CID439400"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID6449797"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID6449797"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID21121725"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID21121725"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID15698824"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID15698821"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298941"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298941"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263317"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263318"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298937"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298937"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263319"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263320"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298936"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298936"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263321"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298940"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298940"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263322"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298939"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298939"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID44263324"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298938"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298938"
"https://identifiers.org/wikipathways/WP4346_r125078","WP4346","Cholesterol metabolism with Bloch and Kandutsch-Russell pathways","CID22298944"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID22298944"
"https://identifiers.org/wikipathways/WP5304_r125192","WP5304","Cholesterol metabolism","CID9301"
"https://identifiers.org/wikipathways/WP5333_r126539","WP5333","Enterocyte cholesterol metabolism","CID9301"
"https://identifiers.org/wikipathways/WP4347_r124982","WP4347","Eicosanoid metabolism via cyclooxygenases (COX)","CID5280882"
"https://identifiers.org/wikipathways/WP4347_r124982","WP4347","Eicosanoid metabolism via cyclooxygenases (COX)","CID5283168"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID11090531"
"https://identifiers.org/wikipathways/WP5354_r126523","WP5354","Ergosterol biosynthesis","CID9803310"
"https://identifiers.org/wikipathways/WP3248_r105983","WP3248","Tryptophan metabolism","CID910"
"https://identifiers.org/wikipathways/WP452_r120825","WP452","Tryptophan degradation via kynurenine","CID910"
"https://identifiers.org/wikipathways/WP1126_r122665","WP1126","Tryptophan metabolism","CID910"
"https://identifiers.org/wikipathways/WP465_r122957","WP465","Tryptophan metabolism","CID910"
"https://identifiers.org/wikipathways/WP36_r124941","WP36","De novo biosynthesis of pyrimidine deoxyribonucleotides","CID13945"
"https://identifiers.org/wikipathways/WP290_r117328","WP290","Polyamine biosynthesis","CID1045"
"https://identifiers.org/wikipathways/WP321_r117315","WP321","Nucleotide metabolism","CID1045"
"https://identifiers.org/wikipathways/WP3211_r117575","WP3211","Nucleotide metabolism","CID1045"
"https://identifiers.org/wikipathways/WP3245_r123273","WP3245","Urea cycle and metabolism of amino groups","CID1045"
"https://identifiers.org/wikipathways/WP497_r119105","WP497","Urea cycle and metabolism of amino groups","CID1045"
"https://identifiers.org/wikipathways/WP478_r117297","WP478","Glycogen catabolism","CID439586"
"https://identifiers.org/wikipathways/WP478_r117297","WP478","Glycogen catabolism","CID92146"
"https://identifiers.org/wikipathways/WP552_r69954","WP552","Octane oxidation","CID356"
"https://identifiers.org/wikipathways/WP552_r69954","WP552","Octane oxidation","CID957"
"https://identifiers.org/wikipathways/WP181_r117318","WP181","P-cymene degradation","CID326"
"https://identifiers.org/wikipathways/WP573_r117322","WP573","Phenylalanine degradation","CID998"
"https://identifiers.org/wikipathways/WP290_r117328","WP290","Polyamine biosynthesis","CID1102"
"https://identifiers.org/wikipathways/WP321_r117315","WP321","Nucleotide metabolism","CID1102"
"https://identifiers.org/wikipathways/WP3211_r117575","WP3211","Nucleotide metabolism","CID1102"
"https://identifiers.org/wikipathways/WP2207_r117414","WP2207","Beta-alanine biosynthesis","CID1102"
"https://identifiers.org/wikipathways/WP3245_r123273","WP3245","Urea cycle and metabolism of amino groups","CID1102"
"https://identifiers.org/wikipathways/WP497_r119105","WP497","Urea cycle and metabolism of amino groups","CID1102"
"https://identifiers.org/wikipathways/WP194_r117326","WP194","Phenylalanine biosynthesis","CID1028"
"https://identifiers.org/wikipathways/WP27_r117323","WP27","Phenylalanine, tyrosine, and tryptophan biosynthesis","CID1028"
"https://identifiers.org/wikipathways/WP46_r117317","WP46","Methionine degradation","CID123909"
"https://identifiers.org/wikipathways/WP552_r69954","WP552","Octane oxidation","CID380"
"https://identifiers.org/wikipathways/WP552_r69954","WP552","Octane oxidation","CID445344"
"https://identifiers.org/wikipathways/WP112_r117329","WP112","Principal pathways of carbon metabolism","CID1060"
"https://identifiers.org/wikipathways/WP2212_r123064","WP2212","Methylerythritol phosphate pathway","CID1060"
"https://identifiers.org/wikipathways/WP435_r116571","WP435","One-carbon metabolism","CID439234"
"https://identifiers.org/wikipathways/WP435_r116571","WP435","One-carbon metabolism","CID9825434"
"https://identifiers.org/wikipathways/WP730_r116583","WP730","Glutathione and one-carbon metabolism","CID439234"
"https://identifiers.org/wikipathways/WP730_r116583","WP730","Glutathione and one-carbon metabolism","CID9825434"
"https://identifiers.org/wikipathways/WP1355_r116584","WP1355","One-carbon metabolism","CID439234"
"https://identifiers.org/wikipathways/WP1355_r116584","WP1355","One-carbon metabolism","CID9825434"
"https://identifiers.org/wikipathways/WP280_r89704","WP280","Carbon monoxide dehydrogenase pathway","CID439234"
"https://identifiers.org/wikipathways/WP280_r89704","WP280","Carbon monoxide dehydrogenase pathway","CID9825434"
"https://identifiers.org/wikipathways/WP241_r126998","WP241","One-carbon metabolism","CID439234"
"https://identifiers.org/wikipathways/WP241_r126998","WP241","One-carbon metabolism","CID9825434"
"https://identifiers.org/wikipathways/WP112_r117329","WP112","Principal pathways of carbon metabolism","CID1005"
"https://identifiers.org/wikipathways/WP224_r117270","WP224","Aerobic glycerol catabolism","CID1005"
"https://identifiers.org/wikipathways/WP27_r117323","WP27","Phenylalanine, tyrosine, and tryptophan biosynthesis","CID1005"
"https://identifiers.org/wikipathways/WP515_r117299","WP515","Glycolysis and gluconeogenesis","CID1005"
"https://identifiers.org/wikipathways/WP156_r102416","WP156","Gluconeogenesis","CID1005"
"https://identifiers.org/wikipathways/WP253_r107251","WP253","Glycolysis","CID1005"
"https://identifiers.org/wikipathways/WP390_r102418","WP390","Serine-isocitrate lyase pathway","CID1005"
"https://identifiers.org/wikipathways/WP109_r117358","WP109","UDP-glucose conversion","CID1004"
"https://identifiers.org/wikipathways/WP109_r117358","WP109","UDP-glucose conversion","CID1061"
"https://identifiers.org/wikipathways/WP112_r117329","WP112","Principal pathways of carbon metabolism","CID1004"
"https://identifiers.org/wikipathways/WP112_r117329","WP112","Principal pathways of carbon metabolism","CID1061"
"https://identifiers.org/wikipathways/WP137_r117288","WP137","Fatty acid biosynthesis, initial steps","CID1004"
"https://identifiers.org/wikipathways/WP137_r117288","WP137","Fatty acid biosynthesis, initial steps","CID1061"
"https://identifiers.org/wikipathways/WP1518_r117273","WP1518","Aspartate biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP1518_r117273","WP1518","Aspartate biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP171_r117313","WP171","NAD salvage pathway","CID1004"
"https://identifiers.org/wikipathways/WP171_r117313","WP171","NAD salvage pathway","CID1061"
"https://identifiers.org/wikipathways/WP191_r117344","WP191","Glutamate biosynthesis superpathway","CID1004"
"https://identifiers.org/wikipathways/WP191_r117344","WP191","Glutamate biosynthesis superpathway","CID1061"
"https://identifiers.org/wikipathways/WP196_r117295","WP196","Glutathione biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP196_r117295","WP196","Glutathione biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP203_r118180","WP203","De novo biosynthesis of purine nucleotides","CID1004"
"https://identifiers.org/wikipathways/WP203_r118180","WP203","De novo biosynthesis of purine nucleotides","CID1061"
"https://identifiers.org/wikipathways/WP218_r117337","WP218","Serine and glycine biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP218_r117337","WP218","Serine and glycine biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP220_r117334","WP220","Ribose and deoxyribose phosphate metabolism","CID1004"
"https://identifiers.org/wikipathways/WP220_r117334","WP220","Ribose and deoxyribose phosphate metabolism","CID1061"
"https://identifiers.org/wikipathways/WP27_r117323","WP27","Phenylalanine, tyrosine, and tryptophan biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP27_r117323","WP27","Phenylalanine, tyrosine, and tryptophan biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP296_r117347","WP296","TCA cycle - detailed","CID1004"
"https://identifiers.org/wikipathways/WP296_r117347","WP296","TCA cycle - detailed","CID1061"
"https://identifiers.org/wikipathways/WP328_r117271","WP328","Allantoin degradation","CID1004"
"https://identifiers.org/wikipathways/WP328_r117271","WP328","Allantoin degradation","CID1061"
"https://identifiers.org/wikipathways/WP331_r117349","WP331","Threonine biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP331_r117349","WP331","Threonine biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP345_r117303","WP345","Glycine degradation","CID1004"
"https://identifiers.org/wikipathways/WP345_r117303","WP345","Glycine degradation","CID1061"
"https://identifiers.org/wikipathways/WP381_r117333","WP381","Riboflavin, FMN, and FAD biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP381_r117333","WP381","Riboflavin, FMN, and FAD biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP398_r117351","WP398","Trehalose anabolism","CID1004"
"https://identifiers.org/wikipathways/WP398_r117351","WP398","Trehalose anabolism","CID1061"
"https://identifiers.org/wikipathways/WP414_r117274","WP414","Cell cycle and cell division","CID1004"
"https://identifiers.org/wikipathways/WP414_r117274","WP414","Cell cycle and cell division","CID1061"
"https://identifiers.org/wikipathways/WP423_r117348","WP423","Threonine and methionine biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP423_r117348","WP423","Threonine and methionine biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP459_r117338","WP459","Serine biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP459_r117338","WP459","Serine biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP463_r117332","WP463","Purine fermentation","CID1004"
"https://identifiers.org/wikipathways/WP463_r117332","WP463","Purine fermentation","CID1061"
"https://identifiers.org/wikipathways/WP46_r117317","WP46","Methionine degradation","CID1004"
"https://identifiers.org/wikipathways/WP46_r117317","WP46","Methionine degradation","CID1061"
"https://identifiers.org/wikipathways/WP472_r117324","WP472","Phosphatidic acid and phospholipid biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP472_r117324","WP472","Phosphatidic acid and phospholipid biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP478_r117297","WP478","Glycogen catabolism","CID1004"
"https://identifiers.org/wikipathways/WP478_r117297","WP478","Glycogen catabolism","CID1061"
"https://identifiers.org/wikipathways/WP92_r117290","WP92","De novo biosynthesis of pyrimidine ribonucleotides","CID1004"
"https://identifiers.org/wikipathways/WP92_r117290","WP92","De novo biosynthesis of pyrimidine ribonucleotides","CID1061"
"https://identifiers.org/wikipathways/WP2208_r125283","WP2208","Cardiolipin biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP2208_r125283","WP2208","Cardiolipin biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP156_r102416","WP156","Gluconeogenesis","CID1004"
"https://identifiers.org/wikipathways/WP156_r102416","WP156","Gluconeogenesis","CID1061"
"https://identifiers.org/wikipathways/WP228_r109414","WP228","Deoxyribose phosphate metabolism","CID1004"
"https://identifiers.org/wikipathways/WP228_r109414","WP228","Deoxyribose phosphate metabolism","CID1061"
"https://identifiers.org/wikipathways/WP253_r107251","WP253","Glycolysis","CID1004"
"https://identifiers.org/wikipathways/WP253_r107251","WP253","Glycolysis","CID1061"
"https://identifiers.org/wikipathways/WP260_r107252","WP260","Glucose-1-phosphate metabolism","CID1004"
"https://identifiers.org/wikipathways/WP260_r107252","WP260","Glucose-1-phosphate metabolism","CID1061"
"https://identifiers.org/wikipathways/WP280_r89704","WP280","Carbon monoxide dehydrogenase pathway","CID1004"
"https://identifiers.org/wikipathways/WP280_r89704","WP280","Carbon monoxide dehydrogenase pathway","CID1061"
"https://identifiers.org/wikipathways/WP361_r87431","WP361","Xylulose-monophosphate cycle","CID1004"
"https://identifiers.org/wikipathways/WP361_r87431","WP361","Xylulose-monophosphate cycle","CID1061"
"https://identifiers.org/wikipathways/WP390_r102418","WP390","Serine-isocitrate lyase pathway","CID1004"
"https://identifiers.org/wikipathways/WP390_r102418","WP390","Serine-isocitrate lyase pathway","CID1061"
"https://identifiers.org/wikipathways/WP503_r97401","WP503","Glutamate degradation III","CID1004"
"https://identifiers.org/wikipathways/WP503_r97401","WP503","Glutamate degradation III","CID1061"
"https://identifiers.org/wikipathways/WP77_r89655","WP77","Glutamate biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP77_r89655","WP77","Glutamate biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP70_r119989","WP70","Trehalose degradation, low osmolarity","CID1004"
"https://identifiers.org/wikipathways/WP70_r119989","WP70","Trehalose degradation, low osmolarity","CID1061"
"https://identifiers.org/wikipathways/WP627_r117255","WP627","Triacylglycerol biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP627_r117255","WP627","Triacylglycerol biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP275_r120446","WP275","Arginine biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP275_r120446","WP275","Arginine biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP7_r125063","WP7","Sulfur amino acid biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP7_r125063","WP7","Sulfur amino acid biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP121_r125511","WP121","Colanic acid building blocks biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP121_r125511","WP121","Colanic acid building blocks biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP14_r125514","WP14","Sucrose biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP14_r125514","WP14","Sucrose biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP266_r124926","WP266","Triglyceride biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP266_r124926","WP266","Triglyceride biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP9_r124935","WP9","Phospholipid biosynthesis","CID1004"
"https://identifiers.org/wikipathways/WP9_r124935","WP9","Phospholipid biosynthesis","CID1061"
"https://identifiers.org/wikipathways/WP416_r122754","WP416","Histidine, purine, and pyrimidine superpathway","CID1004"
"https://identifiers.org/wikipathways/WP416_r122754","WP416","Histidine, purine, and pyrimidine superpathway","CID1061"
"https://identifiers.org/wikipathways/WP224_r117270","WP224","Aerobic glycerol catabolism","CID643975"
"https://identifiers.org/wikipathways/WP381_r117333","WP381","Riboflavin, FMN, and FAD biosynthesis","CID643975"
"https://identifiers.org/wikipathways/WP54_r89653","WP54","Arginine degradation","CID643975"
"https://identifiers.org/wikipathways/WP575_r89136","WP575","Anaerobic respiration","CID643975"
"https://identifiers.org/wikipathways/WP381_r117333","WP381","Riboflavin, FMN, and FAD biosynthesis","CID643976"
"https://identifiers.org/wikipathways/WP575_r89136","WP575","Anaerobic respiration","CID643976"
"https://identifiers.org/wikipathways/WP203_r118180","WP203","De novo biosynthesis of purine nucleotides","CID8977"
"https://identifiers.org/wikipathways/WP257_r117340","WP257","Starch and cellulose biosynthesis","CID8977"
"https://identifiers.org/wikipathways/WP510_r117311","WP510","MAPK signaling pathway","CID8977"
"https://identifiers.org/wikipathways/WP95_r126209","WP95","Pyrimidine ribonucleotide salvage pathways","CID8977"
"https://identifiers.org/wikipathways/WP422_r123420","WP422","MAPK cascade","CID8977"
"https://identifiers.org/wikipathways/WP251_r116722","WP251","Mapk cascade","CID8977"
"https://identifiers.org/wikipathways/WP121_r125511","WP121","Colanic acid building blocks biosynthesis","CID8977"
"https://identifiers.org/wikipathways/WP416_r122754","WP416","Histidine, purine, and pyrimidine superpathway","CID8977"
"https://identifiers.org/wikipathways/WP54_r89653","WP54","Arginine degradation","CID145742"
"https://identifiers.org/wikipathways/WP3245_r123273","WP3245","Urea cycle and metabolism of amino groups","CID145742"
"https://identifiers.org/wikipathways/WP497_r119105","WP497","Urea cycle and metabolism of amino groups","CID145742"
"https://identifiers.org/wikipathways/WP121_r125511","WP121","Colanic acid building blocks biosynthesis","CID10918995"
"https://identifiers.org/wikipathways/WP121_r125511","WP121","Colanic acid building blocks biosynthesis","CID439211"
"https://identifiers.org/wikipathways/WP220_r117334","WP220","Ribose and deoxyribose phosphate metabolism","CID439287"
"https://identifiers.org/wikipathways/WP228_r109414","WP228","Deoxyribose phosphate metabolism","CID439287"
"https://identifiers.org/wikipathways/WP370_r117339","WP370","Sphingolipid metabolism","CID644109"
"https://identifiers.org/wikipathways/WP380_r117293","WP380","Fatty acid elongation, saturated","CID644109"
"https://identifiers.org/wikipathways/WP4722_r124748","WP4722","Glycerolipids and glycerophospholipids","CID644109"
"https://identifiers.org/wikipathways/WP4345_r124739","WP4345","Glycerolipids and glycerophospholipids","CID644109"
"https://identifiers.org/wikipathways/WP224_r117270","WP224","Aerobic glycerol catabolism","CID446013"
"https://identifiers.org/wikipathways/WP54_r89653","WP54","Arginine degradation","CID446013"
"https://identifiers.org/wikipathways/WP575_r89136","WP575","Anaerobic respiration","CID446013"
"https://identifiers.org/wikipathways/WP546_r116499","WP546","Lactose degradation and galactose metabolism","CID15993"
"https://identifiers.org/wikipathways/WP3933_r116372","WP3933","Kennedy pathway from sphingolipids","CID15993"
"https://identifiers.org/wikipathways/WP137_r117288","WP137","Fatty acid biosynthesis, initial steps","CID15993"
"https://identifiers.org/wikipathways/WP13_r117289","WP13","DNA replication","CID15993"
"https://identifiers.org/wikipathways/WP1518_r117273","WP1518","Aspartate biosynthesis","CID15993"
